id,name,startTime,endTime,website,description,prize,prizeCount,totalTeamCount,totalMemberCount,awardedTeamCount,honorableMentionTeamCount,tracks,universityTeamCount,logo
2,Renaissance,2024-03-04T00:00:00.000Z,2024-04-08T00:00:00.000Z,https://colosseum.org/renaissance,The Solana Renaissance Hackathon,555000,34,1076,2722,34,51,"[""Consumer Apps"",""Infrastructure"",""DAOs & Communities"",""DeFi & Payments"",""DePin"",""Gaming""]",0,"https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,background=white,quality=75,width=400,height=400/event-covers/yu/0bd11b7c-dd88-4698-8994-479b175aee0e"
3,Radar,2024-09-02T11:00:00.000Z,2024-11-12T00:00:00.000Z,https://colosseum.org/radar,The Solana Radar Hackathon,600000,39,1360,3226,39,19,"[""DePIN"",""DeFi"",""Gaming"",""Consumer"",""Payments"",""DAOs & Network States"",""Infrastructure""]",0,https://pbs.twimg.com/ext_tw_video_thumb/1816113928289542144/pu/img/i4FZAsfUch0X6V24.jpg
4,Breakout,2025-04-14T11:00:00.000Z,2025-07-02T00:00:00.000Z,https://colosseum.org/breakout,The Solana Breakout Hackathon,832500,85,1416,3406,85,39,"[""DePIN"",""DeFi"",""Infrastructure"",""AI"",""Consumer Apps"",""Stablecoins"",""Gaming""]",345,"https://images.lumacdn.com/cdn-cgi/image/format=auto,fit=cover,dpr=2,anim=false,background=white,quality=75,width=500,height=500/event-covers/xt/1b28a609-9f31-4aa9-a9e8-61305b8464bb.png"
